Country,ShortName,Jersey,Position,PLAYER,Name,LastName,NameOnShirt,BirhtDate,CLUB,ClubCountry,HEIGHT,Apperances,GOALS
Argentina,ARG,1,GK,ARMANI Franco,Franco,ARMANI,ARMANI,1986-10-16,CA River Plate,ARG,189,18,0
Argentina,ARG,2,DF,FOYTH Juan,Juan Marcos,FOYTH,FOYTH,1998-12-01,Villarreal CF,ESP,188,16,0
Argentina,ARG,3,DF,TAGLIAFICO Nicolas,Nicolás Alejandro,TAGLIAFICO,TAGLIAFICO,1992-08-31,Olympique Lyon,FRA,172,42,0
Argentina,ARG,4,DF,MONTIEL Gonzalo,Gonzalo Ariel,MONTIEL,MONTIEL,1997-01-01,Sevilla FC,ESP,175,18,0
Argentina,ARG,5,MF,PAREDES Leandro,Leandro Daniel,PAREDES,PAREDES,1994-06-29,Juventus FC,ITA,182,46,4
Argentina,ARG,6,DF,PEZZELLA German,Germán Alejo,PEZZELLA,PEZZELLA,1991-06-27,Real Betis,ESP,190,32,2
Argentina,ARG,7,MF,DE PAUL Rodrigo,Rodrigo Javier,DE PAUL,DE PAUL,1994-05-24,CA Atlético Madrid,ESP,180,44,2
Argentina,ARG,8,MF,ACUNA Marcos,Marcos Javier,ACUÑA,ACUÑA,1991-10-28,Sevilla FC,ESP,172,43,0
Argentina,ARG,9,FW,ALVAREZ Julian,Julian,ALVAREZ,J. ALVAREZ,2000-01-31,Manchester City FC,ENG,170,12,3
Argentina,ARG,10,FW,MESSI Lionel,Lionel Andres,MESSI,MESSI,1987-06-24,Paris Saint-Germain FC,FRA,170,165,91
Argentina,ARG,11,FW,DI MARIA Angel,Angel Fabian,DI MARIA,DI MARIA,1988-02-14,Juventus FC,ITA,178,124,27
Argentina,ARG,12,GK,RULLI Geronimo,Geronimo,RULLI,RULLI,1992-05-20,Villarreal CF,ESP,189,4,0
Argentina,ARG,13,DF,ROMERO Cristian,Cristian Gabriel,ROMERO,ROMERO,1998-04-27,Tottenham Hotspur FC,ENG,185,12,1
Argentina,ARG,14,MF,PALACIOS Exequiel,Exequiel Alejandro,PALACIOS,PALACIOS,1998-05-10,Bayer 04 Leverkusen,GER,177,20,0
Argentina,ARG,15,FW,CORREA Angel,Angel Martin,CORREA,A. CORREA,1995-09-03,CA Atlético Madrid,ESP,174,22,3
Argentina,ARG,16,MF,ALMADA Thiago,Thiago Ezequiel,ALMADA,ALMADA,2001-04-26,Atlanta United FC,USA,171,1,0
Argentina,ARG,17,MF,GOMEZ Alejandro,Alejandro Dario,GÓMEZ,GÓMEZ,1988-02-15,Sevilla FC,ESP,167,15,3
Argentina,ARG,18,MF,RODRIGUEZ Guido,Guido,RODRIGUEZ,G. RODRIGUEZ,1994-12-04,Real Betis,ESP,186,26,1
Argentina,ARG,19,DF,OTAMENDI Nicolas,Nicolas Hernan Gonzalo,OTAMENDI,OTAMENDI,1988-12-02,SL Benfica,POR,183,93,4
Argentina,ARG,20,MF,MAC ALLISTER Alexis,Alexis,MAC ALLISTER,MAC ALLISTER,1998-12-24,Brighton & Hove Albion FC,ENG,176,8,0
Argentina,ARG,21,FW,DYBALA Paulo,Paulo Exequiel,DYBALA,DYBALA,1993-11-15,AS Roma,ITA,177,34,3
Argentina,ARG,22,FW,MARTINEZ Lautaro,Lautaro Javier,MARTÍNEZ,L. MARTÍNEZ,1997-08-22,FC Internazionale,ITA,175,40,21
Argentina,ARG,23,GK,MARTINEZ Emiliano,Damián Emiliano,MARTÍNEZ,E. MARTÍNEZ,1992-02-09,Aston Villa FC,ENG,195,19,0
